frame.time_delta_displayed,ip.src,frame.len
0.000000000,192.168.222.133,85
0.075382000,192.168.222.133,85
0.430050000,192.168.222.113,101
0.008736000,192.168.222.113,140
0.151282000,192.168.222.133,74
0.455122000,192.168.222.114,66
0.014536000,192.168.222.133,54
0.277639000,192.168.222.133,127
0.448498000,192.168.222.114,306
0.010784000,192.168.222.133,54
0.754659000,192.168.222.133,164
0.370516000,192.168.222.114,306
1.017588000,192.168.222.133,212
0.338721000,192.168.222.114,433
3.657338000,192.168.222.133,560
1.090617000,192.168.222.114,139
0.577059000,192.168.222.133,85
0.081382000,192.168.222.133,85
0.520508000,192.168.222.113,140
0.016580000,192.168.222.113,101
1.680933000,192.168.222.133,226
0.605548000,192.168.222.114,190
1.502466000,192.168.222.133,244
0.319351000,192.168.222.114,262
1.840597000,192.168.222.133,294
0.227364000,192.168.222.114,190
1.444772000,192.168.222.133,223
0.418238000,192.168.222.114,258
2.999550000,192.168.222.133,334
0.264355000,192.168.222.114,190
1.413699000,192.168.222.133,223
0.413353000,192.168.222.114,238
2.301744000,192.168.222.133,334
0.201257000,192.168.222.114,190
1.201795000,192.168.222.114,66
0.038811000,192.168.222.133,66
0.501704000,192.168.222.133,223
0.512655000,192.168.222.114,60
0.030137000,192.168.222.114,127
0.006712000,192.168.222.133,54
1.451488000,192.168.222.133,228
0.448542000,192.168.222.114,182
0.445480000,192.168.222.114,220
1.609724000,192.168.222.133,347
0.487958000,192.168.222.114,651
1.474710000,192.168.222.133,139
0.597000000,192.168.222.114,174
1.957477000,192.168.222.133,85
0.168656000,192.168.222.133,85
0.949757000,192.168.222.113,132
0.200060000,192.168.222.113,101
0.252198000,192.168.222.133,74
0.782865000,192.168.222.113,74
0.031378000,192.168.222.133,66
0.368816000,192.168.222.133,138
0.211850000,192.168.222.113,126
0.020538000,192.168.222.133,66
1.612045000,192.168.222.133,222
0.345810000,192.168.222.113,218
1.230069000,192.168.222.133,66
0.272191000,192.168.222.113,66
0.047515000,192.168.222.113,66
0.033453000,192.168.222.133,66
0.236326000,192.168.222.133,85
0.108965000,192.168.222.133,85
0.713268000,192.168.222.113,132
0.020401000,192.168.222.113,101
0.234076000,192.168.222.133,74
0.252917000,192.168.222.113,74
0.028828000,192.168.222.133,66
0.445435000,192.168.222.133,138
0.940678000,192.168.222.114,186
1.484729000,192.168.222.133,186
0.258989000,192.168.222.113,402
0.019961000,192.168.222.133,66
1.404478000,192.168.222.133,398
0.636016000,192.168.222.114,688
2.223911000,192.168.222.133,85
0.085269000,192.168.222.133,85
0.238065000,192.168.222.113,132
0.007237000,192.168.222.113,101
0.125034000,192.168.222.133,74
0.176922000,192.168.222.113,74
0.022939000,192.168.222.133,66
0.267316000,192.168.222.133,138
0.210829000,192.168.222.113,126
0.019678000,192.168.222.133,66
1.532006000,192.168.222.133,222
0.295082000,192.168.222.113,218
1.276765000,192.168.222.133,66
0.139320000,192.168.222.113,66
0.031309000,192.168.222.133,85
0.031929000,192.168.222.113,66
0.008362000,192.168.222.133,66
0.056361000,192.168.222.133,85
0.215322000,192.168.222.113,101
0.081179000,192.168.222.113,132
0.105523000,192.168.222.133,74
0.167507000,192.168.222.113,74
0.019908000,192.168.222.133,66
0.244648000,192.168.222.133,138
0.245336000,192.168.222.113,126
0.022277000,192.168.222.133,66
1.557205000,192.168.222.133,130
0.401170000,192.168.222.113,102
1.299884000,192.168.222.133,166
0.528219000,192.168.222.114,182
0.036241000,192.168.222.133,66
0.898903000,192.168.222.113,110
1.044642000,192.168.222.133,130
0.640303000,192.168.222.113,102
0.932274000,192.168.222.133,166
0.890298000,192.168.222.113,110
0.948671000,192.168.222.133,130
0.431467000,192.168.222.113,102
0.913031000,192.168.222.133,166
0.483850000,192.168.222.113,110
0.823941000,192.168.222.133,130
0.375138000,192.168.222.113,102
0.900106000,192.168.222.133,166
0.443420000,192.168.222.113,110
0.860568000,192.168.222.133,130
0.221246000,192.168.222.113,102
0.869185000,192.168.222.133,166
0.451587000,192.168.222.113,110
0.800404000,192.168.222.133,130
0.266529000,192.168.222.113,102
0.920202000,192.168.222.133,166
0.512850000,192.168.222.113,110
0.943952000,192.168.222.133,130
0.621787000,192.168.222.113,102
1.178158000,192.168.222.133,166
0.757444000,192.168.222.113,110
0.906568000,192.168.222.133,130
0.455365000,192.168.222.113,102
1.256104000,192.168.222.133,166
1.101941000,192.168.222.113,110
0.922500000,192.168.222.133,130
0.315477000,192.168.222.113,102
0.894116000,192.168.222.133,166
0.501711000,192.168.222.113,110
1.342673000,192.168.222.133,54
0.213050000,192.168.222.133,130
0.249498000,192.168.222.113,102
0.857322000,192.168.222.133,166
0.484765000,192.168.222.113,110
0.849730000,192.168.222.133,130
0.221045000,192.168.222.113,102
0.858169000,192.168.222.133,166
0.516411000,192.168.222.113,110
0.864383000,192.168.222.133,130
0.217222000,192.168.222.113,102
0.983882000,192.168.222.133,166
1.055447000,192.168.222.113,110
1.163651000,192.168.222.133,130
0.334441000,192.168.222.113,102
0.875388000,192.168.222.133,166
0.661776000,192.168.222.113,110
0.841335000,192.168.222.133,130
0.247867000,192.168.222.113,102
0.875415000,192.168.222.133,166
0.597317000,192.168.222.113,110
0.873602000,192.168.222.133,130
0.259181000,192.168.222.113,102
0.872269000,192.168.222.133,166
0.522418000,192.168.222.113,110
0.844365000,192.168.222.133,130
0.395807000,192.168.222.113,102
0.908221000,192.168.222.133,166
0.512573000,192.168.222.113,110
0.814507000,192.168.222.133,130
0.243532000,192.168.222.113,102
0.962950000,192.168.222.133,166
0.533984000,192.168.222.113,110
0.866814000,192.168.222.133,130
0.236416000,192.168.222.113,102
0.854264000,192.168.222.133,166
1.153141000,192.168.222.113,110
2.003348000,192.168.222.133,738
0.703696000,192.168.222.113,698
18.909754000,192.168.222.133,66
0.366020000,192.168.222.113,66
0.029517000,192.168.222.113,66
0.034650000,192.168.222.133,66
0.955802000,192.168.222.133,636
64.958690000,192.168.222.113,66
0.026265000,192.168.222.133,198
0.411750000,192.168.222.113,210
0.010602000,192.168.222.133,66
1.869069000,192.168.222.133,186
0.652332000,192.168.222.113,2162
0.020481000,192.168.222.133,66
3.342670000,192.168.222.133,230
0.416239000,192.168.222.113,306
2.678363000,192.168.222.133,406
1.073648000,192.168.222.113,4338
0.027028000,192.168.222.133,66
0.018972000,192.168.222.113,642
11.496418000,192.168.222.133,234
0.418299000,192.168.222.113,306
2.186391000,192.168.222.133,406
0.583010000,192.168.222.113,4338
0.020445000,192.168.222.133,66
0.150036000,192.168.222.113,2258
0.023788000,192.168.222.133,66
11.711699000,192.168.222.133,242
0.458717000,192.168.222.113,306
2.074140000,192.168.222.133,406
0.661010000,192.168.222.113,4338
0.011691000,192.168.222.133,66
0.018434000,192.168.222.113,1858
0.004292000,192.168.222.133,66
10.465852000,192.168.222.133,66
0.173467000,192.168.222.113,66
0.015850000,192.168.222.113,66
0.009036000,192.168.222.133,66
0.556073000,192.168.222.133,130
0.402174000,192.168.222.114,174
0.009739000,192.168.222.133,54
0.910774000,192.168.222.133,138
0.190765000,192.168.222.114,212
0.912934000,192.168.222.133,194
0.275076000,192.168.222.114,126
0.464632000,192.168.222.133,126
1.807961000,192.168.222.114,186
1.113351000,192.168.222.133,316
0.358610000,192.168.222.114,265
1.325105000,192.168.222.133,139
0.301135000,192.168.222.114,60
0.134073000,192.168.222.114,218
0.020883000,192.168.222.133,54
2.045181000,192.168.222.133,178
0.206751000,192.168.222.114,178
1.023629000,192.168.222.133,178
0.205221000,192.168.222.114,178
0.902562000,192.168.222.133,178
0.269673000,192.168.222.114,60
